id,company,industry,website,naics_code,naics_description,all_naics,uei,recipient_id,last_award_date,last_checked,total_awards_found
11,Rebellion Defense,Enterprise Defense Software,rebelliondefense.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 511210: SOFTWARE PUBLISHERS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",KV99RGJA8NK3,4d26e51a-aab6-1b95-9420-955f44823f10-C,2024-02-02,2026-07-22,16
12,EpiSci,Autonomous Drone Swarming Systems,episci.com,,,,,,,2026-07-22,
13,Epirus,High-Power Microwave Systems,epirusinc.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",JJKVLHAMFJT9,d41b3544-17b2-a27b-6808-d4f3b7e6587f-C,2025-12-29,2026-07-22,14
14,Fortem Technologies,Airspace Security & Counter-UAS,fortemtech.com,561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),"561621: SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS); 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",XLRDQKZPX7N9,69a91630-ea8d-b69c-d313-e143ef45038b-C,2026-04-21,2026-07-22,7
15,Dedrone,Drone Detection Platforms,dedrone.com,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 513210: SOFTWARE PUBLISHERS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 334111: ELECTRONIC COMPUTER MANUFACTURING; 561621: SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS); 811213: COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE; 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING",PTKSSCB9V873,b2204494-6bda-9e08-82dc-6525fd301674-C,2025-06-10,2026-07-22,14
16,Skydio,Autonomous Defense Drone Systems,skydio.com,336411,AIRCRAFT MANUFACTURING,"336411: AIRCRAFT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 339999: ALL OTHER MISCELLANEOUS MANUFACTURING; 335910: BATTERY MANUFACTURING; 513210: SOFTWARE PUBLISHERS; 423690: OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS",LTBJCLHYL5S9,7e94f475-5ef8-624a-8b7e-0753b43b0fd6-C,2026-07-15,2026-07-22,105
17,Teal Drones,Military Reconnaissance sUAS,tealdrones.com,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 336411: AIRCRAFT MANUFACTURING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 334290: OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING; 334111: ELECTRONIC COMPUTER MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",P22FX2MVJZL1,67f7fa6f-1c68-be1e-49c1-174edea95fe9-C,2026-04-15,2026-07-22,49
18,Vantage Robotics,Tactical UAVs & ISR Cameras,vantagerobotics.com,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 336411: AIRCRAFT MANUFACTURING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 611512: FLIGHT TRAINING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",DC8ZNTAB4AE7,ee6a90d6-618e-36fb-2f04-f5fc366f61fe-C,2026-03-31,2026-07-22,37
19,Ascent AeroSystems,Coaxial Drone Platforms,ascentaerosystems.com,336411,AIRCRAFT MANUFACTURING,"336411: AIRCRAFT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",W7JVCM9HK9U4,4efb4e2e-3d0e-1a3d-fc42-7d8efd5a8541-C,2025-08-15,2026-07-22,9
20,Inspired Flight,Commercial & Defense UAVs,inspiredflight.com,336411,AIRCRAFT MANUFACTURING,336411: AIRCRAFT MANUFACTURING; 333316: PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,LV6TMMM17JZ3,21219d6a-6287-da53-0ae5-7f4b6091dca3-C,2023-07-21,2026-07-22,4
21,Auterion,Drone Operating Systems & Tech,auterion.com,336411,AIRCRAFT MANUFACTURING,"336411: AIRCRAFT MANUFACTURING; 336413: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",EKPDJ8D9VKE8,df8e1cca-f1df-3530-95c8-a535ff3d4ec9-C,2026-04-15,2026-07-22,4
22,ModalAI,Blue UAS Autopilot Software,modalai.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 336413: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 336411: AIRCRAFT MANUFACTURING",PGJWE887TDM9,8b4ed4fb-efb8-9559-6b47-83be197583c3-C,2026-01-30,2026-07-22,8
23,Red Cat Holdings,Unmanned Aircraft Solutions,redcatholdings.com,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",P22FX2MVJZL1,67f7fa6f-1c68-be1e-49c1-174edea95fe9-C,2024-03-14,2026-07-22,18
24,Gremsy,Gimbal Systems for Defense UAVs,gremsy.com,,,,,,,2026-07-22,
25,Kraus Hamdani Aerospace,Ultra-Long Endurance UAVs,krausha.com,336411,AIRCRAFT MANUFACTURING,"336411: AIRCRAFT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",QSBUPRMYGV43,2763fd3b-d864-7a1a-6a22-3b4f0b10d671-C,2026-04-17,2026-07-22,8
26,Vanilla Unmanned,Ultra-Endurance Drone Fleets,vanillaunmanned.com,,,,,,,2026-07-22,
27,Swift Engineering,Tactical VTOL Drone Solutions,swiftengineering.com,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541713: RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY",GYHCJ83A16M5,176bc4eb-4c67-9975-7031-83f5e8b24cb6-C,2025-09-02,2026-07-22,17
28,Silent Falcon UAS,Solar-Electric UAVs,silentfalconuas.com,,,,,,,2026-07-22,
29,Real-Time Innovations (RTI),Edge Software Concurrency & Connectivity,rti.com,,,,,,,2026-07-22,
30,Wind River Systems,Real-Time Defense Operating Systems,windriver.com,511210,SOFTWARE PUBLISHERS,"511210: SOFTWARE PUBLISHERS; 513210: SOFTWARE PUBLISHERS; 541519: OTHER COMPUTER RELATED SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541330: ENGINEERING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 811212: COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE",FMNVM66XGFY7,713cfd25-bd59-e2bc-6f5e-643305508622-C,2026-01-13,2026-07-22,102
31,Green Hills Software,Cyber-Secure Safety Systems,ghs.com,511210,SOFTWARE PUBLISHERS,511210: SOFTWARE PUBLISHERS; 513210: SOFTWARE PUBLISHERS; 541519: OTHER COMPUTER RELATED SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 511120: PERIODICAL PUBLISHERS; 334418: PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING; 423430: COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,WH64TRZ4WL65,6d18831f-83cd-ea7a-dade-237b369e24f0-C,2026-07-01,2026-07-22,100
32,Lynx Software Technologies,Mission-Critical Safe Hypervisors,lynxsemi.com,511210,SOFTWARE PUBLISHERS,"511210: SOFTWARE PUBLISHERS; 513210: SOFTWARE PUBLISHERS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541519: OTHER COMPUTER RELATED SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 541330: ENGINEERING SERVICES; 811212: COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",EWCXW1KUGKV4,91af12fc-7a28-08f4-d46f-2060a1de4c91-C,2025-07-31,2026-07-22,74
33,DDC-I,Safety-Critical Avionics RTOS,ddci.com,511210,SOFTWARE PUBLISHERS,511210: SOFTWARE PUBLISHERS; 513210: SOFTWARE PUBLISHERS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541519: OTHER COMPUTER RELATED SERVICES; 511120: PERIODICAL PUBLISHERS,ELYJDMMEWMN1,b48d55e1-2b59-ddc6-a672-5bce19ed4c4f-C,2025-05-07,2026-07-22,21
34,CoreAVI,Mission-Critical Graphics Drivers,coreavi.com,,,,,,,2026-07-22,
